2.00,89
0.00,86
3.00,85
4.00,83
5.00,77
6.00,69
7.00,82
8.00,54
9.00,305
10.00,121
11.00,57
12.00,81
13.00,50
14.00,52
15.00,50
16.00,57
17.00,39
18.00,24
19.00,19
20.00,26
21.00,19
22.00,15
23.00,18
24.00,16
25.00,15
26.00,20
27.00,18
28.00,19
29.00,8
30.00,8
31.00,10
32.00,11
33.00,5
35.00,6
34.00,5
37.00,7
36.00,6
38.00,12
39.00,9
40.00,11
41.00,8
43.00,14
42.00,15
45.00,18
44.00,30
47.00,11
46.00,22
48.00,14
49.00,26
51.00,13
50.00,27
52.00,29
53.00,22
54.00,18
55.00,29
57.00,20
56.00,24
58.00,18
59.00,15
61.00,20
60.00,21
63.00,19
62.00,27
64.00,18
67.00,16
66.00,24
65.00,14
68.00,7
69.00,11
70.00,7
71.00,9
75.00,16
74.00,18
73.00,15
72.00,10
77.00,11
76.00,15
78.00,15
79.00,15
81.00,15
80.00,13
83.00,12
82.00,16
86.00,15
84.00,22
87.00,9
85.00,12
91.00,8
89.00,6
88.00,5
90.00,8
92.00,8
93.00,7
94.00,6
95.00,4
99.00,2
98.00,2
97.00,3
96.00,2
102.00,5
100.00,3
101.00,5
103.00,4
106.00,3
104.00,4
105.00,1
107.00,4
109.00,3
108.00,4
111.00,2
110.00,1
114.00,5
115.00,2
113.00,3
119.00,2
118.00,2
117.00,6
116.00,9
123.00,2
122.00,3
121.00,2
120.00,4
124.00,2
127.00,4
125.00,2
132.00,3
129.00,4
130.00,1
135.00,3
134.00,3
131.00,3
128.00,4
133.00,1
140.00,3
137.00,1
138.00,1
141.00,2
142.00,2
143.00,1
151.00,3
147.00,2
150.00,3
145.00,3
148.00,2
149.00,5
146.00,2
144.00,1
155.00,1
154.00,1
156.00,2
152.00,2
157.00,2
159.00,3
158.00,1
153.00,3
164.00,4
163.00,1
167.00,1
162.00,2
166.00,1
161.00,2
172.00,1
168.00,1
173.00,1
174.00,1
178.00,3
186.00,1
185.00,2
190.00,2
184.00,1
187.00,2
199.00,3
196.00,1
193.00,1
202.00,1
200.00,1
206.00,1
204.00,1
209.00,1
212.00,1
211.00,1
217.00,1
227.00,1
225.00,1
238.00,1
237.00,1
241.00,1
247.00,1
242.00,1
251.00,1
255.00,1
268.00,1
265.00,2
264.00,1
259.00,1
258.00,1
267.00,1
285.00,1
286.00,1
299.00,1
306.00,1
315.00,1
307.00,1
321.00,1
342.00,1
348.00,1
343.00,1
360.00,1
382.00,1
373.00,1
378.00,1
376.00,2
386.00,1
408.00,1
422.00,3
452.00,1
475.00,1
480.00,1
494.00,1
491.00,1
488.00,1
543.00,1
520.00,1
565.00,1
549.00,2
582.00,1
592.00,1
629.00,1
615.00,1
794.00,1
810.00,1
841.00,1
983.00,2
1060.00,1
15899.00,1
1.00,147
